LABEL,sentences
0,<s> officials fair enough slap vis comm teachers face kk lmaz thursday thursday thursday </s>
1,<s> yesterday fantastic saw fam oregon miss soo much </s>
1,<s> mrskutcher poland mother day 26th may </s>
1,<s> eastcoastgamblr like feel today </s>
1,<s> lydiastack mitchelmusso australian release know please write back </s>
1,<s> et </s>
0,<s> back work </s>
1,<s> beach day head cat listen yankees game get place clean maybe read little </s>
0,<s> pull oboe full year amp definitely longer symphony level must remedy ow lips hurt </s>
1,<s> f1 today oh well world cup really divert attention </s>
0,<s> poop forget </s>
1,<s> package arrive cheryl give xiaomantous book order yay </s>
1,<s> nakulshenoy lol quot twitter kill blogger quot far apart btw quot blogging traditional sense quot may know </s>
0,<s> test good probably go get torrent </s>
1,<s> jeddimkins bahahah id advertise fat people </s>
0,<s> try amuse make laugh </s>
1,<s> dannymcevoy haha leave hull alone yeah mate </s>
1,<s> good morning gh clean room </s>
0,<s> want upset day </s>
1,<s> decide run laptop battery power cord case power surge stormy </s>
1,<s> hey someone happy someone aka </s>
0,<s> fear come back ride </s>
0,<s> knock door see want go kfc guess sleep lol </s>
0,<s> markvanbaale see anything watch awhile earlier even get back deadlines </s>
1,<s> well break vodka lemon drop </s>
1,<s> grad party work seth love summer </s>
0,<s> really need start tan right arm gh leave arm dark drive </s>
0,<s> wait scrap come pick old aab </s>
0,<s> go bed physically pain work kicker years coffee </s>
0,<s> traffic move snail pace queen street east streetcar move one block 10 minutes university york </s>
1,<s> davidarchie make sing song stage song amp glad fun </s>
0,<s> web server sorry inconvenience time start shop new host guess </s>
1,<s> smithycurt nobbbbbyyy lobby not route </s>
0,<s> tweetdeck stop work bath </s>
1,<s> hair look sicckkkk happy mother day mother </s>
0,<s> stephanie pratt tell mtv news quot hill make bulimic quot http better still gt half story miss </s>
0,<s> hell weekend go one second friday wake monday sad sad sad state affairs </s>
0,<s> tweetdeck update fix crash remove minimize stray totally blow </s>
0,<s> fashionsourcing thank invite swamp wo able make leave hopefully </s>
0,<s> really tire man </s>
0,<s> long get sore head </s>
0,<s> alexispratsides thank lol sadly 31 waaahhhhh </s>
1,<s> bye everyone </s>
0,<s> studio test tomorrow </s>
1,<s> ngl finish fic get puppy much love ridiculous completely make night ecstatic </s>
1,<s> rotflmao http quot math koda hawaii have quot tamil quot math would u come bath quot wtf </s>
0,<s> hmm make choice decide go food reception screen instead hang screen dinner </s>
0,<s> throne thank make years golf course unforgettable rip </s>
1,<s> chuckiem good night </s>
0,<s> div physical exam shuttle job </s>
1,<s> play golf wonderful husband take day kid still school </s>
1,<s> micheleknight www picasso cute </s>
0,<s> time puzzle puzzle </s>
0,<s> want chinese tea yet another leaflet come mail slot minute ago luton really look like fast food </s>
0,<s> go away wasps </s>
1,<s> jack hey jack look cool food place suggestions run hide </s>
0,<s> love andy richter back joel </s>
1,<s> go soo love pink sing glitter air show soo amaze beautiful </s>
0,<s> watch army wive always make cry </s>
0,<s> ive deal roommate crap aside nothing clean alot miss abi </s>
1,<s> get pull nevada state pop quite grand </s>
1,<s> hisfitness thank guy leave canvas leader center politician right tomorrow mit4e </s>
1,<s> amazingphil morning roarface </s>
0,<s> arm still hurt pull yesterday </s>
1,<s> finish say prayers </s>
1,<s> wendy00n yeah watch lot new movies actually watch lot movies doctor </s>
1,<s> precise public education best defense private deletion </s>
0,<s> kid party sun </s>
1,<s> nathalichristy les les dan less aahahahah oi oi liberal km here </s>
1,<s> paint rim car </s>
1,<s> matthardybrand lucky good friends sure already know </s>
0,<s> finish 12 money 55 1 star play far aggressive try build monster stack approach bubble x x </s>
1,<s> kk ani tat love family go grad night soon </s>
1,<s> mayors back think leave us </s>
1,<s> use stumbleupon please give site thumb http </s>
1,<s> bedoggtde http www little cousin cute get daddy </s>
0,<s> bet mistake nah surprise </s>
0,<s> merry hop subvert ice cream party </s>
1,<s> common9000 thank feel need fly paitnbrush ur name bring linux guru </s>
1,<s> supasash11 cap fan series pay ill root lakers </s>
0,<s> stick rain boyhood </s>
1,<s> watch whilst phone </s>
1,<s> mayahzonfiya sortie ai get chance 2 stick around longer </s>
0,<s> go dinner </s>
0,<s> babybree96 hide kitty </s>
1,<s> prince harry one block away x3 </s>
0,<s> hungry wait history start </s>
1,<s> wussup new followers </s>
1,<s> egoodlett angelajames thank help kind </s>
0,<s> say prayer friend cheese lose dad wont see younglife group ye </s>
0,<s> today suck </s>
1,<s> r rafaelvandyke find hole 11yo son bedroom wall comma happy gt toy strategically stack </s>
0,<s> headache wo keep twitter tire gossip heart break overtime name come </s>
1,<s> 6 days go away duke ed im like really excite </s>
0,<s> miss baby know sleep grand house miss tommy </s>
0,<s> totally sum wo see buddy news monday </s>
0,<s> celine dion song stick head statement sort summary things go today okay bad </s>
0,<s> good morning twitter set microwave work fire allow 2 use anymore amp ppl wonder dont hav 1 home </s>
1,<s> rainbowsleeve thank pass word plastic bag petition http </s>
0,<s> small problem test demo need use two seperate browsers test otherwise cookie code give name </s>
0,<s> chriscavs could send spam reply get tweet probably wo help though </s>
1,<s> yeah rain gon na good cycle </s>
1,<s> shaundiviney maybe one oasis </s>
1,<s> stephenfry things find better settle long trip wander around london </s>
1,<s> im happy mood </s>
0,<s> ca believe entire plane full people big plane full people disappear absolutely screw </s>
0,<s> pinkkpaiige12 go </s>
0,<s> pop pennsylvania rest stop hate use public toilets </s>
0,<s> enjoy doubt r sell houston </s>
0,<s> eat much shit lunch feel sick </s>
0,<s> brettkloesel yeah thank rude post see till post last one nice </s>
1,<s> date say technical people part decision make process </s>
1,<s> delete guess someone step declare twitter certainly attract spotlight </s>
0,<s> work tomorrow </s>
0,<s> poor daughter very 16 rock festival weekend hope drown get cold </s>
0,<s> early im go compete </s>
0,<s> really really really wan na go see maxwell concert ticket mad expensive tho </s>
0,<s> laurenbotzspons wish know life redir </s>
0,<s> way home work think sad miss 14 find barra poor family </s>
0,<s> tommcfly dougiemcfly dannymcfly mcflyharry philippines need please come mcflyinmanila mcflyinmanila mcflyinmanila </s>
1,<s> sell risk game need good day </s>
0,<s> ready bed make much </s>
1,<s> donniewahlberg bless c u especially meet u pittsburgh 1 best nights life honor meet u </s>
1,<s> softandpoofyone before get back see ya </s>
1,<s> that talk home behind back always em ery location that get ta love </s>
0,<s> realkidpoker wolverine know never gon na receive twitter reply get meet u vegas trip year </s>
1,<s> twishmay work something office cool </s>
1,<s> therounddiet hey love idea round diet book amazon yet </s>
1,<s> romaineami know love have two different convoy two different place next diff convoy myspace lol </s>
1,<s> green day livelavalive new idols sorry lace awesome voice compare hope settle number three </s>
0,<s> rayamartin ang gandaaa lt 3 gusts ko rin ng fresh croissant mmm </s>
1,<s> join spread love wave hi </s>
1,<s> wow night loss slightly infuriate south beach priceless </s>
1,<s> excite leave alto tower 16 hours </s>
0,<s> fan break pandora app item pandora </s>
0,<s> georgia theatre badly burn lot smoke lot street light dt </s>
1,<s> maria link wan na take look bookmark would make lot easier brain hurt </s>
1,<s> busy day get ta house chores amp get ready andrea belli show tonight hollywood bowl </s>
1,<s> calvinharris find culpa hot water help cookies know something better enjoy dooobai </s>
1,<s> jazzyfizza course smash </s>
1,<s> come back see nin want upload far song night show </s>
0,<s> chrisworthy get word grand open postpone credit card machine wo arrive </s>
0,<s> kevridesthecab na stick na rin sa akin yung song </s>
1,<s> dsbabygirl hey grl find u like here lol wish could go sit ya late buy six lol www cant wait </s>
1,<s> 6 followers 1000 go help </s>
0,<s> think clown far badly decompose funny scary </s>
0,<s> allergic www jealous sushi rotors piece salmon </s>
0,<s> mom appal tell eat spam taste really good </s>
0,<s> probably get virginia next </s>
0,<s> johnpapa friday already get fine china want want want still work </s>
1,<s> go bed soon tire gh sure tomorrow lt </s>
0,<s> writeplayrepeat probably wont make tomorrow due fact go rescue friend later tonight sorry </s>
0,<s> crunchpow know go pay back soon getknifed nick pay site ill make site </s>
0,<s> swear felt earthquake lol </s>
0,<s> hautepersian haha </s>
0,<s> sick past 3 days </s>
0,<s> glad truck even insure </s>
0,<s> main nchen hail raja logo ne murray seriously lena sharon aria hay </s>
0,<s> mrbenrubery puppies arent ready three weeks cry much lol never fear be find </s>
1,<s> teach 4 year olds </s>
1,<s> hear songs miley cyrus </s>
0,<s> oh feel sick rest night away hope feel better oxo virginia </s>
0,<s> realize lose entire itunes collection day seriously day gh </s>
0,<s> starve exhaust go get food </s>
1,<s> sasha help course </s>
1,<s> lamarlee key thank follow </s>
0,<s> www watch mv white horse taylor swift </s>
1,<s> go outside like feel rain skin yes weird know </s>
1,<s> yyyy daddy make grill cheese get home apologize late tire yell anyways though </s>
1,<s> pass twitter flu others </s>
1,<s> traceyfalk personal record real record book </s>
1,<s> shellrawlins mooooooorning </s>
1,<s> therealjordin wow deep battlefield beautiful inspiration lt 3 </s>
0,<s> pickassoreborn thank go rain weekend </s>
1,<s> thank canadian friends invent crown royale right amount problems forget </s>
1,<s> listen africa karl wolf quot gon na take alot drag away quot lt 3 </s>
1,<s> poetrysue lol x </s>
0,<s> stephenfry work blackberry </s>
0,<s> meet feel like death bed apparently withdraw medicine make sick </s>
1,<s> pussycat dolls jakarta please take brazil </s>
0,<s> musewire could get muse ticket fam ca afford expensive ones cry whenever someone say muse lie x </s>
1,<s> im happy finish deck look awesome </s>
1,<s> littlelisa69 miya 10 hop mobile tweet set today may drop go around </s>
0,<s> think something wrong uk2 live support offline amp email take hours come </s>
1,<s> busydiscoball yah geek term mean something like work use </s>
1,<s> thank parastoo nice friends original package quot friends quot room yoohooo </s>
0,<s> rosaliiinda practice piano ima wash whip later must </s>
1,<s> summer fantastic easy ride mtb fiancee must start read vat tax </s>
0,<s> forget set alarm 6am ride hope get easy miles work tomorrow race gap </s>
0,<s> im happy </s>
1,<s> diamondblvd find plug 360 </s>
0,<s> courtney319 sad time should start leave bench quot free quot </s>
0,<s> peer pressure want kid kid mean mean kid grow mean adults </s>
1,<s> chicagolatina80 sorry hear make jam </s>
0,<s> gt get mix someone use fl </s>
0,<s> wonder always start pour rain light bb </s>
0,<s> lodie feel 15 realise 19 feel old ready let good time roll haha take xx </s>
1,<s> sj32 question </s>
1,<s> tommcfly poetry read night love poetry rhyme song </s>
1,<s> go calgary sunday even see caribouboy </s>
0,<s> gavin8 still </s>
1,<s> look forward see tonight </s>
1,<s> frommystudio weekly webcomic ca linger bad week script art go pretty quick 2 2 </s>
1,<s> hughes help book </s>
1,<s> kristenstewart9 best fun </s>
1,<s> car look good good price </s>
1,<s> gkarageorge screw read blog brother </s>
0,<s> delbertshoopman good luck footage none station break live </s>
1,<s> parkway know true winner also take lose much better </s>
1,<s> welshdrew look clip nice work try http help filter rubbish </s>
0,<s> catch drink water http </s>
1,<s> im go 2 sleep unite tweet </s>
0,<s> ca sleep school </s>
1,<s> wait zac brown band come ahhhhh </s>
0,<s> pirrofina tear lmaz thats cute </s>
0,<s> ridiculously sick aaaaaa </s>
0,<s> shannon yeah miss move apparently twitter real </s>
1,<s> voodoo today friday get ta get today 3 days fun </s>
1,<s> im begin hate perezhilton increase snobbishness stem rise fame ive find new favorite blogger </s>
1,<s> dufalbagent thank boo </s>
1,<s> drew123 thank play helluva movie enjoy </s>
0,<s> wake nap hope get sick </s>
0,<s> cultureshockmag sad n make sad amp colinmunroe come excite meet u wales crack canal tunnel </s>
0,<s> bnp european parliament seat happen 2 equality country come 2 sad time </s>
1,<s> davidarchie haha david exactly 333 update </s>
0,<s> matchesmalone yes exactly dont think consequences like us humans have2clear remain </s>
1,<s> good afternoon </s>
0,<s> day </s>
0,<s> analogs real cheese need membership </s>
1,<s> gailporter terrible programme call jeremy vile </s>
1,<s> hhh people bipolar days even funny haha </s>
1,<s> laniiblunts lol np love u </s>
1,<s> join twitter </s>
1,<s> bruxedo hi here hope like stuff </s>
0,<s> sadly n get shock see baby little sis get violence bf </s>
0,<s> miiikeo wish g house last night miss </s>
1,<s> windy6 remove acetona </s>
1,<s> kathybuckworth hey kathy daughter want come clean garage 50 buck </s>
0,<s> hungry </s>
0,<s> weekend go way fast </s>
1,<s> go blue sky come back clean cant wait til thursday </s>
0,<s> marylandrum nothing parent agree </s>
1,<s> tiiiink neither could first call benny </s>
0,<s> tonycarrera oh poor dear surgery sick ca seem catch break </s>
0,<s> bah hotel </s>
0,<s> get jonasbrothers new album today go concert london tonight </s>
1,<s> peterfacinelli have friends hope family great weekend </s>
1,<s> microgeist leave letter word quot brevity quot </s>
1,<s> quot cartography hedgehog quot yay </s>
0,<s> make strong squash </s>
1,<s> djtracyyoung get floor defy gravity </s>
0,<s> ankle op 7hours amp soo nervous nd sleep bt think l b awake site </s>
0,<s> nobody like year one review read disappoint maybe like since expect much </s>
1,<s> watch cause make smile http http comment rate subscribe far </s>
1,<s> djannalyze well nice make friends </s>
0,<s> sharma99 link break friend redo pls nd im call request sng </s>
1,<s> theroose good deal laura come know nothing </s>
1,<s> amp weekend shift apart drama one night ca exactly change forever ca wait leave tomorrow </s>
1,<s> vs stew jay meg sam haha </s>
1,<s> chloe amp jessica chloe feel dead skin back get ta love her </s>
1,<s> bigbadbob75 good plan </s>
0,<s> time get ready work super tire </s>
0,<s> ga stick counter 15 minutes vol </s>
1,<s> sprinters need work fb </s>
1,<s> tamagotchi plus color want one bring back memories </s>
1,<s> lowcountrybbq good morning he think bb already </s>
0,<s> see angels demons today early hope good tweet get back bad cant phone </s>
0,<s> back home get ready go kikuuu last day </s>
0,<s> sad family home spend many happy years sale http </s>
1,<s> afeeee happy mother day </s>
0,<s> yet buy hayfever medication know worse see fit sore irritate eye </s>
1,<s> brand german banknotes present tomorrow hamburg already online look good moreover quot usual suspect quot already work </s>
0,<s> mcflymusic oh want go impossible far brazil </s>
1,<s> go work next blog post get sleep </s>
1,<s> voodoo doctor marathon lt 3 get job aaaaaa work clothingstore </s>
1,<s> finish eat lunch </s>
0,<s> katherinelunt x </s>
1,<s> hmxcasey chance game would feature 3 guitars la band ca wait come 1 day bday </s>
1,<s> chantalalalaxo like li </s>
0,<s> work always </s>
1,<s> yasmimmm thank </s>
0,<s> hate wake early able go back sleep </s>
0,<s> yay mg columbus gay cox instinct lose </s>
0,<s> sleep day ca sleep night </s>
0,<s> note </s>
1,<s> hope pass civic exam 17 days month long trip country </s>
1,<s> hold know go way </s>
0,<s> home wonder hell everybody </s>
1,<s> jennings morning neighbour frank whatever next haha </s>
0,<s> son ca breath rush childrens mercy hospital </s>
0,<s> nicmoneymil kai707 amp live saki </s>
1,<s> whedonverse bloody board update http seem like another busy one today </s>
0,<s> study physics fun really tire </s>
0,<s> thatchickleelee love novella though </s>
0,<s> prinzita performances horizon </s>
1,<s> basically love metro gibbs really want see post grad summer look great </s>
1,<s> download windows seven developer release yesterday </s>
0,<s> http mr bump keychain </s>
0,<s> bore begin realise definite leave date make time drag even </s>
1,<s> play fussball remind http </s>
0,<s> middot thank really worth give army god hit </s>
1,<s> um campaign get change name flow1 let focus real issue about f1 </s>
0,<s> mfgreer lose please help find good home </s>
1,<s> finally hawaii yes awfully long luck warm welcome though get use time difference alpha </s>
0,<s> jennybeeean wish live haha well yea get chance talk thank jenny friends tell look alike haha lol </s>
1,<s> hollienicole awesome great time </s>
1,<s> katie2008 adorable here yer gd nice day shop n sunbathin xx </s>
1,<s> teenhearts favourite movie </s>
1,<s> katgkionis followfriday blind recommend ppl u like 2 http amp srch 4 followfriday 2 c </s>
0,<s> hate phone refuse tweet </s>
1,<s> pack daydream come back yesterday form beautiful isle biz </s>
1,<s> jakesonaplane ha yup gon na good day </s>
0,<s> fabuleuxdestin quot rob always rob quot ss hm know btw come uh </s>
0,<s> pay bill gotham pile </s>
0,<s> http soon cute size </s>
1,<s> frankmillar good morning look like go nice weather today chicago wish u awesome day </s>
0,<s> carrie underwood dream sad especially video </s>
0,<s> bishop13 suck </s>
0,<s> tashadhanraj yeah say try get job gas laugh face </s>
0,<s> sad book store open get sweet tea </s>
1,<s> goooooooooooooood morning </s>
1,<s> love job kid wasnt sure id b able 2 say furniture god4movers lv loan corvette yes speed </s>
1,<s> social study fund class lunch betty </s>
0,<s> um thank test like 17 text message dont number phone identity unknown </s>
0,<s> hot today hear theres suppose storm hope </s>
0,<s> ah finish fashion show case power point fashion design hard </s>
0,<s> king617 really wish could n go lately </s>
1,<s> em26miles hope ok ice cream top know fossils </s>
1,<s> smoshian meh think keep follow start scare threats </s>
1,<s> listen india be get ready wonderful sunny day </s>
1,<s> settle great victorious game soccer work frustrations instead </s>
1,<s> r amp b groove start epiphanygirl album </s>
1,<s> hey vet part carrie mastermind note post welcome </s>
0,<s> thatiusstatic go way could afford half way yr 11 would best idea </s>
1,<s> wake go lake danielle amp giuseppe </s>
0,<s> feel good </s>
0,<s> jelly1996 miss u 2 </s>
1,<s> sexyjoy386 hmm thats gon na hard store open </s>
1,<s> way make clear never first time god never fail ever </s>
1,<s> smileytee haha yes next buy </s>
0,<s> need go soon dont wan na weight aint gon na shift self lol x </s>
0,<s> revise exams </s>
1,<s> deadlyseagal http nice day </s>
0,<s> thekeenanator oh darn work actually hop sneak away go disney days haha </s>
0,<s> yeah friday nice weather want leave work early wo </s>
1,<s> go ten minutes bye twitter xxxx </s>
0,<s> wait monsoon cloud rain water shortage mumbai lakes dry </s>
1,<s> lamina www gary larson group appear shaun bite expert sneak group </s>
0,<s> miss william hop think </s>
1,<s> think watch good ol one tree hill bed </s>
1,<s> jithinkr ithellam yen en kitty sakura u anything u please </s>
0,<s> misunderstand sister graduate amp ca afford buy anything </s>
0,<s> ew creepy followers </s>
1,<s> excite potential promotion ahead finally store next </s>
1,<s> early watch classic x file rerun ftw </s>
0,<s> back work </s>
1,<s> await result european elections bye bye labour </s>
1,<s> than83 pray guy husband saint </s>
1,<s> honorsociety http guy always crack look cute tire </s>
0,<s> no1 wish happy mother day </s>
0,<s> moleskine comics http wish could draw </s>
0,<s> dad get sitcom finale moment turn light old office today really move north carolina </s>
0,<s> get burn sound nasty sorry hear </s>
0,<s> watch dew tour chan didnt win either ryan secular ill cu orlando dew tour finals come </s>
0,<s> anno want go shop </s>
0,<s> summit state island opener totally get rain </s>
0,<s> ca find </s>
0,<s> yeah feel lauren hate right </s>
1,<s> whole avoid park together parachute even make extra money drag advertise banner </s>
1,<s> hhh sweet smell internet afternoon good see ya </s>
0,<s> try decide wear headache feel good hope get sick </s>
1,<s> mandytronic get ta call bouts today plan bout hit magnificent mile tomorrow long story phoooone </s>
0,<s> legendaryswag wait f housekeeper </s>
0,<s> rain stalinism much fun learn </s>
1,<s> richie great idea serena also let us see amaze vid </s>
0,<s> need drive around charge phone gh </s>
1,<s> lovato math come help smart </s>
1,<s> keithbooe yeah save buy gotta drink </s>
1,<s> make new hair clip today go check em page http </s>
0,<s> soon annoy best mate live far away </s>
0,<s> start realize job skills pertain today job market seven years work slowly go drain </s>
1,<s> lilicosic confuse unfortunate combination watermelon alan core </s>
1,<s> rhinoceros yup get 10 min ago get right lane </s>
0,<s> get bore buy mario theme clock calculator doi side note peach give credit liga share work </s>
1,<s> go earn money clean nanny </s>
1,<s> winter new sidekick </s>
1,<s> iheartscuttle lol im actually really start like change </s>
1,<s> know good sense humor </s>
1,<s> y0manchinggg cherry computer room happy revise good luck </s>
1,<s> fail exams </s>
1,<s> end high school 5 days ca wait weekend lead </s>
0,<s> sleep work morning </s>
0,<s> keithnolan corriander die water help </s>
0,<s> chopsuey2e horrible long day since 4am bed see tomorrow though free drink </s>
1,<s> alexparr maybe time site busy play past 3 hours work fine till </s>
0,<s> cricket again 2day happy rain fall </s>
1,<s> christ no kinda always homo </s>
1,<s> aaaaaa lose time sad excite see 3 time though unlike chuck pilot </s>
0,<s> take daughter dentist less thrill </s>
0,<s> really ai minimal sleep energy level r void help lol </s>
0,<s> clarin house fun </s>
0,<s> worry beloved liverpool money money money </s>
1,<s> still get drink leave cba go car boot wan na lay bed </s>
0,<s> new zealand trip omg cool like go </s>
0,<s> oz test baby world miss </s>
1,<s> festivallights yay thank </s>
1,<s> unfold pause button game life </s>
0,<s> predschickidee current situation would go concert trip quot hold quot somebody hire hope </s>
1,<s> kinggimini yea idno wat u doi im syllable </s>
1,<s> salisburydowns right always </s>
0,<s> hero miss hug </s>
0,<s> honeybunches leave greece </s>
1,<s> good morning wake hour ago study work </s>
0,<s> get guy 2 piss play tho sorry boo </s>
1,<s> moniquemay love way breakfast lately </s>
0,<s> land hate wait people take million things overhead bin bring one small carry </s>
1,<s> taylorswift13 wish london see like biggest dream meet iloveyouuu lt 3 </s>
0,<s> clutch cable wo fix tomorrow </s>
0,<s> aafreen chicks u cold still </s>
1,<s> shaft btw talk today swear never fight u </s>
1,<s> vote 100 time fly wan na nice spread world </s>
1,<s> people join twitter relief haha </s>
1,<s> angelaisawesome love song haha halo na yung version ng new find glory </s>
0,<s> half eleven years since sleep late dog strangely quiet morning huge hangover </s>
1,<s> voice hear inside head reason sing get ta find need find </s>
0,<s> history revision exam monday </s>
0,<s> musclenerd suck delay hop unlock use cdn phone tweet charity bike ride us weekend </s>
0,<s> designate driver </s>
1,<s> good night levy </s>
0,<s> gamma500 arch thunder wake love storm go bed wake </s>
1,<s> mom cook terrific lunch kudos </s>
0,<s> omg head kill make go away please error get ready get ta go work uuuhhhgg </s>
1,<s> go library </s>
1,<s> bdawgsc nice swear gt studio around see east atl amp decatur quite frequently </s>
0,<s> http rip willy voodoo bear </s>
1,<s> marie glad constant reminders everywhere oh call melee </s>
1,<s> res397 take time </s>
0,<s> mothlights yeah jailbroken gt use video </s>
0,<s> jonathanrknight life sure precious case end way early important enjoy life regret </s>
0,<s> helena210 one rub </s>
0,<s> love even though threaten kill chris brown </s>
1,<s> joffhopkins hello post twitpic frog seem come </s>
0,<s> try sleep night shift last one tonight manage wake ca get back sleep </s>
0,<s> chapter 3 scale key modes script 4 different program languages yet stuff scramble brain </s>
1,<s> also hope see another cd another tour rest live reality may happen </s>
0,<s> ca believe holiday really wonderful time boyfriend kitty cat back office tomorrow feel sad </s>
0,<s> hate </s>
0,<s> shayyyg start slow well hope rest day beautiful </s>
1,<s> older brother bff </s>
0,<s> rain </s>
1,<s> full http </s>
1,<s> conwizzle haha mun mmmmmmmmm love chicken </s>
0,<s> able church family mother day home sick little boy </s>
0,<s> nothing productive today work 10 tomorrow gross shift want work </s>
1,<s> 1cablegate come france </s>
0,<s> bore friends right sad huh friday night friends shame </s>
0,<s> dream last site sideman green goalie would totally leave alone dude try multiple time kill </s>
1,<s> francheska28 such good luck handle see </s>
0,<s> hate rzburg traffic winter really miss thomas morning radio metro fm kenny suck </s>
1,<s> staaceeyy dont know actually happen greedy tour date ze site cbf go wan na go blink </s>
1,<s> flo494 also watch hannah montana </s>
1,<s> try get back swing twist work write book yeah 225 page </s>
0,<s> day two orientation god hate wake early </s>
1,<s> maddlepaddle new roof bah moo quack seek </s>
0,<s> miriamcheah cant check ur dms cause im phone check get home </s>
1,<s> pink thank mental image lucky woman </s>
0,<s> mileycyrus hey bird die weeks ago </s>
1,<s> jamiemcflyx think would honest pack think be </s>
1,<s> mynameissasha im take jazzpiano former bandmate amp jz sign 4 bass if orphan need 2 improve technique </s>
0,<s> sum cash strap situation force ground break </s>
1,<s> jonathanrknight hi survive park lot </s>
0,<s> morning weeks get bad toothache </s>
1,<s> philgerb definitely something look closer thank bring phil hope weekend go awesome </s>
1,<s> good morning twitter im hold fort solo morning contrato 2 supervisor grand </s>
1,<s> cravethought send </s>
0,<s> catch sun glorious weather bore though hay drive nut </s>
1,<s> get back party good time </s>
0,<s> pick last night still shop chris want sleep star front shop </s>
1,<s> joke room thing aurea lol </s>
1,<s> maclovesmusic hard pass free money isnt </s>
1,<s> time low </s>
0,<s> manga see pic </s>
0,<s> kaizersose86 keep update elmundo </s>
1,<s> about handy really refer trade description act </s>
0,<s> wonder newly qualify journal say thing advertise </s>
0,<s> terrencej106 khloekardashian get online maybe many people listen good amp much </s>
0,<s> thick sketchbook thick enough pass http </s>
0,<s> great night ende soon </s>
1,<s> mileycyrus love lady gaga legend </s>
0,<s> dad leave week book </s>
1,<s> awesome night family </s>
0,<s> ruthramirez haha still totally love song find another gr8 1 let u know although havent really clublink l8ly </s>
1,<s> rachel2206 media awesome must say </s>
0,<s> please make boat stand still oh wait still bed </s>
1,<s> legacy62 nothing new try patty far beer something common start main baby </s>
1,<s> afa oh suck bad day jimmy </s>
1,<s> storyline02 goodmorning girl xx </s>
0,<s> spare1980 sound like plan half free friday though really study theory test sunday night </s>
1,<s> clean watch benjamin button make cds lau party tomorrow </s>
1,<s> thesharklady </s>
0,<s> mcrmuffin you want right you make feel okay </s>
1,<s> pamdemonium time </s>
